Her Fearful Symmetry                                          (p=0.1569)  [Fiction, Fantasy, Ghost, Contemporary, Adult]
Island of the Sequined Love Nun                               (p=0.1493)  [Humor, Fiction, Fantasy, Comedy, Humour]
The Master Magician (The Paper Magician Trilogy, #3)          (p=0.1492)  [Fantasy, Young, Fiction, Young Adult, Historical]
Bagombo Snuff Box                                             (p=0.1492)  [Fiction, Short Stories, Science Fiction, Classics, Literary Fiction]
Starship Troopers                                             (p=0.1492)  [Science Fiction, Fiction, Classics, Sf, Military]
Stones from the River                                         (p=0.1492)  [Historical, Fiction, Holocaust, Wwii, Adult]
Shadows in Flight (Ender's Shadow, #5)                        (p=0.1492)  [Science Fiction, Fiction, Young, Fantasy, Space]
Supernova: Akar                                               (p=0.1491)  [Indonesian, Fiction, Novel, Fiksi, Science Fiction]
Ayat-Ayat Cinta                                               (p=0.1491)  [Novel, Indonesian, Fiction, Islam, Fiksi]
Blood Canticle (The Vampire Chronicles, #10)                  (p=0.1489)  [Vampires, Fiction, Horror, Fantasy, Paranormal]
Purgatorio (The Divine Comedy, #2)                            (p=0.1489)  [Classics, Poetry, Fiction, Literary Fiction, Religion]
The Red House                                                 (p=0.1489)  [Fiction, Contemporary, Abandoned, Adult, Novel]
Hafalan Shalat Delisa                                         (p=0.1489)  [Novel, Indonesian, Fiksi, Fiction, Islam]
Supernova: Ksatria, Puteri, dan Bintang Jatuh                 (p=0.1488)  [Novel, Indonesian, Fiksi, Science Fiction, Fiction]
Daun Yang Jatuh Tak Pernah Membenci Angin                     (p=0.1488)  [Novel, Indonesian, Fiction, Fiksi, Romance]
The Left Hand of God (The Left Hand of God, #1)               (p=0.1488)  [Fantasy, Young, Dystopian, Dark, Science Fiction]
Regeneration (Regeneration, #1)                               (p=0.1487)  [Historical, Fiction, War, Wwi, World]
The Charm School                                              (p=0.1487)  [Fiction, Thriller, Mystery, Espionage, Spy]
A Map of the World                                            (p=0.1487)  [Fiction, Contemporary, Adult, Novel, Literary Fiction]
Winter Garden                                                 (p=0.1487)  [Fiction, Historical, Chick Lit, Contemporary, Adult]
5 cm                                                          (p=0.1487)  [Novel, Indonesian, Fiction, Fiksi, Adventure]
When I Found You                                              (p=0.1487)  [Fiction, Contemporary, Family, Adult, Drama]
Once We Were Brothers                                         (p=0.1486)  [Historical, Fiction, Holocaust, Wwii, World]
Captain Underpants and the Attack of the Talking Toilets (Captain Underpants, #2)  (p=0.1485)  [Children, Kids, Humor, Fiction, Graphic Novels]
Perahu Kertas                                                 (p=0.1485)  [Novel, Indonesian, Fiction, Fiksi, Young]
Nights of Rain and Stars                                      (p=0.1485)  [Fiction, Chick Lit, Contemporary, Irish, Adult]
Fifty Shades Duo: Fifty Shades Darker / Fifty Shades Freed (Fifty Shades, #2-3)  (p=0.1485)  [Bdsm, Erotica, Fiction, Adult, Billionaire]
The Hunger Pains: A Parody                                    (p=0.1485)  [Humor, Parody, Dystopian, Young, Fiction]
Life and Other Near-Death Experiences                         (p=0.1485)  [Fiction, Chick Lit, Contemporary, Adult, Humor]
Dreams of Joy (Shanghai Girls #2)                             (p=0.1484)  [Historical, Fiction, Asian, Adult, Novel]
Half Girlfriend                                               (p=0.1484)  [Fiction, Romance, Indian, Young, Novel]
An Incomplete Revenge (Maisie Dobbs, #5)                      (p=0.1484)  [Mystery, Historical, Fiction, Crime, Adult]
The Fire Eternal (The Last Dragon Chronicles, #4)             (p=0.1484)  [Fantasy, Dragon, Young, Children, Fiction]
Dexter By Design (Dexter, #4)                                 (p=0.1483)  [Mystery, Thriller, Fiction, Crime, Horror]
The Bastard (Kent Family Chronicles, #1)                      (p=0.1483)  [Historical, Fiction, American, Adult, Family]
Being a Green Mother (Incarnations of Immortality, #5)        (p=0.1483)  [Fantasy, Fiction, Science Fiction, Urban Fiction, Sf]
Track of the Cat (Anna Pigeon, #1)                            (p=0.1483)  [Mystery, Fiction, Thriller, Crime, Adult]
Four Past Midnight                                            (p=0.1483)  [Fiction, Short Stories, Thriller, Horror, Fantasy]
Night Shift                                                   (p=0.1483)  [Horror, Short Stories, Fiction, Thriller, Fantasy]
Panserhjerte (Harry Hole, #8)                                 (p=0.1482)  [Mystery, Crime, Thriller, Fiction, Scandinavian]
Bonjour tristesse                                             (p=0.1482)  [French, Fiction, Classics, Novel, Coming]
The Mad Ship (Liveship Traders, #2)                           (p=0.1481)  [Fantasy, Fiction, Epic, Dragon, High]
With a Tangled Skein (Incarnations of Immortality, #3)        (p=0.1481)  [Fantasy, Fiction, Science Fiction, Urban Fiction, Sf]
Point of Origin (Kay Scarpetta, #9)                           (p=0.1481)  [Mystery, Crime, Fiction, Thriller, Forensic]
The Love Affairs of Nathaniel P.                              (p=0.1481)  [Fiction, Contemporary, Novel, Literary, Adult]
A Week in Winter                                              (p=0.1480)  [Fiction, Contemporary, Chick Lit, Adult, Irish]
The Girl Next Door                                            (p=0.1480)  [Horror, Fiction, Thriller, Crime, True]
Unnatural Exposure (Kay Scarpetta, #8)                        (p=0.1479)  [Mystery, Crime, Fiction, Thriller, Forensic]
Winter in Tokyo                                               (p=0.1479)  [Metropop, Indonesian, Novel, Fiction, Chick Lit]
Hissy Fit                                                     (p=0.1479)  [Chick Lit, Fiction, Southern, Humor, Mystery]
Kushiel's Scion (Imriel's Trilogy, #1)                        (p=0.1477)  [Fantasy, Fiction, Epic, Science Fiction, Adult]
'Salem's Lot                                                  (p=0.1477)  [Vampires, Horror, Thriller, Paranormal, Fiction]
Money                                                         (p=0.1477)  [Fiction, Contemporary, Novel, Classics, Literary Fiction]
Austerlitz                                                    (p=0.1476)  [Fiction, Historical, German, Novel, Literary Fiction]
The Queen's Poisoner (Kingfountain, #1)                       (p=0.1475)  [Fantasy, Young, Young Adult, Fiction, Historical]
Cat and Mouse (Alex Cross, #4)                                (p=0.1475)  [Mystery, Thriller, Fiction, Crime, Murder]
Laskar Pelangi (Tetralogi Laskar Pelangi, #1)                 (p=0.1475)  [Novel, Indonesian, Fiction, Fiksi, Children]
Collapse: How Societies Choose to Fail or Succeed             (p=0.1475)  [Historical, Non, Non-Fict, Science Fiction, Anthropology]
The Heart Goes Last                                           (p=0.1475)  [Dystopian, Science Fiction, Fiction, Adult, Speculative]
سمفونی مردگان                                                 (p=0.1475)  [Novel, Persian, Fiction, Literary Fiction, Iranian]
Every Boy's Got One (Boy, #3)                                 (p=0.1475)  [Chick Lit, Fiction, Contemporary, Adult, Humor]
The Moving Finger (Miss Marple, #4)                           (p=0.1474)  [Mystery, Crime, Fiction, Classics, Murder]
Noughts & Crosses (Noughts & Crosses, #1)                     (p=0.1474)  [Young, Dystopian, Young Adult, Fiction, Science Fiction]
Crash                                                         (p=0.1474)  [Fiction, Science Fiction, Novel, Literary Fiction, Literary]
La catedral del mar                                           (p=0.1474)  [Historical, Spanish, Fiction, Novela, Medieval]
There's a Wocket in My Pocket!                                (p=0.1474)  [Children, Kids, Picture, Fiction, Classics]
Saving Fish from Drowning                                     (p=0.1474)  [Fiction, Historical, Asian, Contemporary, Novel]
Idoru (Bridge #2)                                             (p=0.1474)  [Science Fiction, Cyberpunk, Fiction, Sf, Novel]
The Hostile Hospital (A Series of Unfortunate Events, #8)     (p=0.1473)  [Children, Fiction, Young, Fantasy, Mystery]
Surfacing                                                     (p=0.1473)  [Fiction, Contemporary, Canadian, Literary, Novel]
Guards! Guards!: The Play                                     (p=0.1473)  [Fantasy, Fiction, Humor, Comedy, Humour]
Blubber                                                       (p=0.1473)  [Children, Young, Fiction, Young Adult, Kids]
The Island                                                    (p=0.1473)  [Historical, Fiction, Contemporary, Novel, Drama]
Rama II (Rama, #2)                                            (p=0.1472)  [Science Fiction, Fiction, Sf, Space, Rama]
Edensor (Tetralogi Laskar Pelangi, #3)                        (p=0.1472)  [Novel, Indonesian, Fiction, Fiksi, Adventure]
A Series of Unfortunate Events Box: The Complete Wreck (Books 1-13)  (p=0.1472)  [Children, Young, Fiction, Fantasy, Mystery]
The Covenant                                                  (p=0.1472)  [Historical, Novel, Adult, Literary Fiction, Apartheid]
The Things We Do for Love                                     (p=0.1472)  [Fiction, Chick Lit, Contemporary, Family, Women]
Existentialism Is a Humanism                                  (p=0.1472)  [Philosophy, Non, French, Existential, Classics]
Little Town on the Prairie  (Little House, #7)                (p=0.1471)  [Children, Historical, Classics, Fiction, Young]
Inside of a Dog: What Dogs See, Smell, and Know               (p=0.1471)  [Non, Non-Fict, Anime, Science Fiction, Psychology]
السنجة                                                        (p=0.1470)  [Novel, Arabic, Arab, Literary Fiction, Fiction]
Any Human Heart                                               (p=0.1470)  [Fiction, Historical, Contemporary, Literary, Novel]
بضع ساعات في يوم ما                                           (p=0.1470)  [Novel, Arab, Arabic, Short Stories, Fiction]
Tatiana and Alexander (The Bronze Horseman, #2)               (p=0.1470)  [Historical, Fiction, Adult, War, Romance]
Filosofi Kopi: Kumpulan Cerita dan Prosa Satu Dekade          (p=0.1470)  [Indonesian, Short Stories, Novel, Fiction, Literary Fiction]
سینوهه                                                        (p=0.1470)  [Fiction, Classics, Historical, Novel, Egypt]
The Forgotten Garden                                          (p=0.1469)  [Historical, Fiction, Adult, Contemporary, Fantasy]
Flaggermusmannen (Harry Hole, #1)                             (p=0.1469)  [Mystery, Crime, Thriller, Scandinavian, Nordic]
Ain't She Sweet                                               (p=0.1469)  [Contemporary, Chick Lit, Fiction, Romance, Humor]
The Fourth Protocol                                           (p=0.1469)  [Thriller, Fiction, Spy, Espionage, Mystery]
Journal 64 (Afdeling Q, #4)                                   (p=0.1469)  [Mystery, Crime, Thriller, Nordic, Krimi]
Captain Underpants and the Perilous Plot of Professor Poopypants (Captain Underpants, #4)  (p=0.1469)  [Children, Kids, Humor, Fiction, Comic]
Miller's Valley                                               (p=0.1468)  [Fiction, Historical, Adult, Family, Contemporary]
Double Act                                                    (p=0.1468)  [Children, Fiction, Kids, Young, Contemporary]
Min kamp 1 (Min kamp #1)                                      (p=0.1468)  [Biography, Non, Contemporary, Scandinavian, Novel]
Angels & Demons  (Robert Langdon, #1)                         (p=0.1468)  [Fiction, Thriller, Mystery, Historical, Crime]
Necronomicon: The Best Weird Tales                            (p=0.1467)  [Horror, Fantasy, Fiction, Classics, Short Stories]
War Brides                                                    (p=0.1467)  [Historical, Fiction, World, Wwii, War]
City of Thieves                                               (p=0.1467)  [Historical, Fiction, War, Wwii, World]
The Almost Moon                                               (p=0.1467)  [Fiction, Contemporary, Adult, Abandoned, Novel]
Tell-All                                                      (p=0.1466)  [Fiction, Contemporary, Novel, Humor, Abandoned]
Shock Wave (Dirk Pitt, #13)                                   (p=0.1466)  [Fiction, Adventure, Thriller, Action, Mystery]
ليتها تقرأ                                                    (p=0.1466)  [Poetry, Arab, Arabic, Literary Fiction, Fiction]
Evening Class                                                 (p=0.1466)  [Fiction, Chick Lit, Contemporary, Irish, Adult]
Sundiver (The Uplift Saga, #1)                                (p=0.1466)  [Science Fiction, Fiction, Space, Sf, Alien]
The Fourth Hand                                               (p=0.1465)  [Fiction, Contemporary, Novel, Literary Fiction, Literary]
The Selected Poetry of Rainer Maria Rilke                     (p=0.1465)  [Poetry, German, Classics, Literary Fiction, Fiction]
Superman: Birthright                                          (p=0.1465)  [Comic, Graphic Novels, Superhero, Comics, Fiction]
The Last Song                                                 (p=0.1465)  [Fiction, Contemporary, Chick Lit, Young, Adult]
Orlando                                                       (p=0.1465)  [Classics, Fiction, LGBTQ, Fantasy, Historical]
Misery                                                        (p=0.1464)  [Horror, Fiction, Thriller, Adult, Mystery]
All Tomorrow's Parties (Bridge, #3)                           (p=0.1464)  [Science Fiction, Cyberpunk, Fiction, Sf, Speculative]
My Sunshine Away                                              (p=0.1464)  [Fiction, Mystery, Southern, Adult, Coming]
Things Not Seen (Things, #1)                                  (p=0.1463)  [Young, Science Fiction, Young Adult, Fiction, Fantasy]
Stenhuggaren (Patrik Hedström, #3)                            (p=0.1463)  [Mystery, Crime, Thriller, Fiction, Scandinavian]
The Tell-Tale Heart and Other Writings                        (p=0.1463)  [Classics, Horror, Short Stories, Fiction, Fantasy]
Never Never: Part Three (Never Never, #3)                     (p=0.1463)  [Young, Contemporary, Mystery, Young Adult, New]
Before I Go to Sleep                                          (p=0.1462)  [Thriller, Mystery, Fiction, Adult, Crime]
The Sirens of Titan                                           (p=0.1462)  [Science Fiction, Classics, Novel, Humor, Literary Fiction]
Every Fifteen Minutes                                         (p=0.1461)  [Thriller, Mystery, Fiction, Adult, Contemporary]
The Boston Girl                                               (p=0.1461)  [Historical, Fiction, Adult, Jewish, Coming]
Cunt: A Declaration of Independence                           (p=0.1461)  [Feminism, Non, Non-Fict, Feminist, Gender]
The Great Dune Trilogy                                        (p=0.1461)  [Science Fiction, Fiction, Fantasy, Classics, Sf]
Being and Nothingness                                         (p=0.1460)  [Philosophy, Non, Existential, French, Classics]
Club Dead (Sookie Stackhouse, #3)                             (p=0.1460)  [Vampires, Fantasy, Paranormal, Urban Fiction, Fiction]
Virtual Light (Bridge, #1)                                    (p=0.1460)  [Science Fiction, Cyberpunk, Fiction, Sf, Dystopian]
Snuff (Discworld, #39; City Watch #8)                         (p=0.1460)  [Fantasy, Fiction, Humor, Humour, Comedy]
Last Night at Chateau Marmont                                 (p=0.1460)  [Adult, Contemporary, Chic, Chick Lit, Women]
To Rise Again at a Decent Hour                                (p=0.1460)  [Fiction, Contemporary, Abandoned, Literary, Novel]
The Memory of Earth (Homecoming, #1)                          (p=0.1460)  [Science Fiction, Fantasy, Fiction, Sf, Novel]
The Thousand Names (The Shadow Campaigns, #1)                 (p=0.1458)  [Fantasy, Epic, Fiction, Military, High]
M is for Malice (Kinsey Millhone, #13)                        (p=0.1458)  [Mystery, Fiction, Crime, Thriller, Adult]
Trumps of Doom (The Chronicles of Amber, #6)                  (p=0.1458)  [Fantasy, Science Fiction, Fiction, Sf, Epic]
شيكاجو                                                        (p=0.1458)  [Novel, Arabic, Arab, Fiction, Politics]
Go Set a Watchman                                             (p=0.1457)  [Fiction, Historical, Classics, Adult, Novel]
2312                                                          (p=0.1457)  [Science Fiction, Fiction, Sf, Space, Abandoned]
Supernova: Petir                                              (p=0.1457)  [Indonesian, Fiction, Novel, Science Fiction, Fantasy]
Among the Ten Thousand Things                                 (p=0.1457)  [Fiction, Literary, Contemporary, Adult, Abandoned]
Born in Shame (Born In Trilogy, #3)                           (p=0.1456)  [Contemporary, Fiction, Chick Lit, Romance, Adult]
May We Be Forgiven                                            (p=0.1456)  [Fiction, Contemporary, Literary, Novel, Family]
Valley of Silence (Circle Trilogy, #3)                        (p=0.1456)  [Fantasy, Paranormal, Vampires, Fiction, Supernatural]
Waiting                                                       (p=0.1456)  [Fiction, Historical, Asian, Chinese, Novel]
Life After Life                                               (p=0.1456)  [Historical, Fiction, Time, Literary, Novel]
The Valley of Amazement                                       (p=0.1456)  [Historical, Fiction, Asian, Adult, Abandoned]
More Tales of the City (Tales of the City, #2)                (p=0.1456)  [LGBTQ, Fiction, Glbt, Contemporary, Queer]
في ديسمبر تنتهي كل الأحلام                                    (p=0.1456)  [Novel, Arabic, Arab, Fiction, Romantic]
Mrs. Lincoln's Dressmaker                                     (p=0.1456)  [Historical, Fiction, Civil, Adult, Abandoned]
Ancillary Sword (Imperial Radch, #2)                          (p=0.1456)  [Science Fiction, Fiction, Space, Sf, Speculative]
The Surgeon (Rizzoli & Isles, #1)                             (p=0.1455)  [Mystery, Thriller, Crime, Fiction, Adult]
Evelyn, After                                                 (p=0.1455)  [Fiction, Mystery, Thriller, Adult, Contemporary]
The Power of Myth                                             (p=0.1454)  [Historical, Mythology, Classics, Religion, Spirituality]
Soul on Ice                                                   (p=0.1454)  [Biography, Non, Memoir, African Literature, Historical]
The Emperor's Children                                        (p=0.1454)  [Fiction, Contemporary, Novel, Literary, Abandoned]
Absurdistan                                                   (p=0.1454)  [Fiction, Humor, Novel, Contemporary, Satire]
Loyalty in Death (In Death, #9)                               (p=0.1454)  [Mystery, Crime, Thriller, Science Fiction, Fiction]
MaddAddam (MaddAddam, #3)                                     (p=0.1453)  [Science Fiction, Dystopian, Fiction, Post, Speculative]
The Mermaid Chair                                             (p=0.1453)  [Fiction, Contemporary, Chick Lit, Adult, Novel]
Tar Baby                                                      (p=0.1453)  [Fiction, African Literature, Classics, Novel, Contemporary]
Footfall                                                      (p=0.1453)  [Science Fiction, Fiction, Sf, Alien, Post]
Small Gods (Discworld, #13)                                   (p=0.1453)  [Fantasy, Fiction, Humor, Humour, Comedy]
The Dragon's Path (The Dagger and the Coin, #1)               (p=0.1453)  [Fantasy, Epic, Fiction, High, Dragon]
Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh           (p=0.1453)  [Indonesian, Comedy, Humor, Novel, Non]
Four Blondes                                                  (p=0.1453)  [Chick Lit, Fiction, Chic, Adult, Contemporary]
Pushing Ice                                                   (p=0.1453)  [Science Fiction, Space, Fiction, Sf, Hard]
Learned Optimism: How to Change Your Mind and Your Life       (p=0.1452)  [Non, Self, Psychology, Non-Fict, Personal]
Mona Lisa Overdrive (Sprawl, #3)                              (p=0.1452)  [Science Fiction, Cyberpunk, Fiction, Sf, Dystopian]
محال                                                          (p=0.1452)  [Novel, Arab, Arabic, Literary Fiction, Fiction]
That Hideous Strength (Space Trilogy, #3)                     (p=0.1452)  [Science Fiction, Fantasy, Christian, Classics, Fiction]
Friction                                                      (p=0.1452)  [Thriller, Mystery, Fiction, Contemporary, Crime]
The Vacationers                                               (p=0.1452)  [Fiction, Contemporary, Adult, Chick Lit, Beach]
Pandora's Star                                                (p=0.1452)  [Science Fiction, Space, Fiction, Sf, Alien]
The Clique (The Clique, #1)                                   (p=0.1452)  [Young, Young Adult, Realistic, Chick Lit, Contemporary]
I Can Read With My Eyes Shut!                                 (p=0.1452)  [Children, Picture, Kids, Fiction, Classics]
Madeline                                                      (p=0.1451)  [Children, Picture, Kids, Classics, Fiction]
The Guns of Avalon (The Chronicles of Amber #2)               (p=0.1451)  [Fantasy, Science Fiction, Fiction, Sf, Epic]
Burmese Days                                                  (p=0.1451)  [Fiction, Classics, Historical, Literary Fiction, Novel]
One Fifth Avenue                                              (p=0.1451)  [Chick Lit, Fiction, Contemporary, Chic, Adult]
The Subterraneans                                             (p=0.1451)  [Fiction, Beat, Classics, Literary Fiction, Novel]
The Gathering                                                 (p=0.1451)  [Fiction, Irish, Contemporary, Novel, Literary]
Lady Audley's Secret                                          (p=0.1451)  [Classics, Mystery, Victorian, Fiction, 19Th]
Beautiful You                                                 (p=0.1451)  [Fiction, Contemporary, Humor, Adult, Science Fiction]
Peony in Love                                                 (p=0.1451)  [Historical, Fiction, Asian, Adult, Chinese]
The Cat's Table                                               (p=0.1451)  [Fiction, Historical, Coming, Adult, Novel]
Cibola Burn (The Expanse, #4)                                 (p=0.1451)  [Science Fiction, Space, Fiction, Sf, Expanse]
Metro 2033 (METRO, #1)                                        (p=0.1451)  [Science Fiction, Dystopian, Post, Horror, Fiction]
حبيبتي بكماء                                                  (p=0.1451)  [Novel, Arabic, Arab, Fiction, Romance]
Captured (The Captive, #1)                                    (p=0.1450)  [Vampires, Paranormal, Fantasy, Young, Dystopian]
La vida del Lazarillo de Tormes                               (p=0.1450)  [Classics, Spanish, Fiction, Clásicos, Literary Fiction]
Train Dreams                                                  (p=0.1450)  [Fiction, Historical, Novella, Literary, Western]
Shirley                                                       (p=0.1450)  [Classics, Fiction, Historical, 19Th, Victorian]
The Hand of Oberon (The Chronicles of Amber #4)               (p=0.1450)  [Fantasy, Science Fiction, Fiction, Sf, Epic]
Telegraph Avenue                                              (p=0.1450)  [Fiction, Abandoned, Contemporary, Literary, Novel]
The Peripheral                                                (p=0.1450)  [Science Fiction, Fiction, Cyberpunk, Sf, Dystopian]
